User,Agency,Route,Run,VehicleID,ForwardEnd,VehicleCount,VehiclePosition,DepartureStop,ArrivalStop,Date,DepartureTime,ArrivalTime,Notes0,Notes1,Notes2,Notes3,Notes4
Seanny,BART,,,1618,,,,,,,,,,,,,
Seanny,BART,,,1618,,,,,,,,,,,,,
Seanny,BART,,,1619,,,,,,,,,,,,,
Seanny,BART,,,1619,,,,,,,,,,,,,
Seanny,BART,,,1620,,,,,,,,,,,,,
Seanny,BART,,,1623,,,,,,,,,,,,,
Seanny,BART,,,1628,,,,,,,,,,,,,
Seanny,BART,,,1628,,,,,,,,,,,,,
Seanny,BART,,,1630,,,,,,,,,,,,,
Seanny,BART,,,1633,,,,,,,,,,,,,
Seanny,BART,,,1634,,,,,,,,,,,,,
Seanny,BART,,,1639,,,,,,,,,,,,,
Seanny,BART,,,1643,,,,,,,,,,,,,
Seanny,BART,,,1643,,,,,,,,,,,,,
Seanny,BART,,,1645,,,,,,,,,,,,,
Seanny,BART,,,1645,,,,,,,,,,,,,
Seanny,BART,,,1653,,,,,,,,,,,,,
Seanny,BART,,,1653,,,,,,,,,,,,,
Seanny,BART,,,1656,,,,,,,,,,,,,
Seanny,BART,,,1656,,,,,,,,,,,,,
Seanny,BART,,,1657,,,,,,,,,,,,,
Seanny,BART,,,1657,,,,,,,,,,,,,
Seanny,BART,,,1658,,,,,,,,,,,,,
Seanny,BART,,,1661,,,,,,,,,,,,,
Seanny,BART,,,1662,,,,,,,,,,,,,
Seanny,BART,,,1662,,,,,,,,,,,,,
Seanny,BART,,,1662,,,,,,,,,,,,,
Seanny,BART,,,1663,,,,,,,,,,,,,
Seanny,BART,,,1663,,,,,,,,,,,,,
Seanny,BART,,,1663,,,,,,,,,,,,,
Seanny,BART,,,1665,,,,,,,,,,,,,
Seanny,BART,,,1666,,,,,,,,,,,,,
Seanny,BART,,,1666,,,,,,,,,,,,,
Seanny,BART,,,1666,,,,,,,,,,,,,
Seanny,BART,,,1669,,,,,,,,,,,,,
Seanny,BART,,,1670,,,,,,,,,,,,,
Seanny,BART,,,1671,,,,,,,,,,,,,
